AGE,NUMBER_OF_TRIPS,TOTAL_MILES_DONE,SPEEDING,SEATBELT,SAFETY_SCORE
25,360,683835,27,29,47
42,765,79169,22,20,45
47,705,484410,39,74,45
27,13,120570,0,0,45
48,13,603621,14,46,78
46,13,126306,0,28,93
41,126,6478,19,33,80
18,986,6478,45,47,76
30,13,445866,8,74,45
48,143,66522,9,67,57
47,993,713296,73,74,60
54,200,6478,8,48,45
18,208,999370,0,67,45
47,75,6478,7,74,65
43,974,6478,0,74,45
29,13,6478,69,43,88
46,993,555538,15,24,45
40,298,600360,44,70,54
24,633,258918,74,47,48
54,385,133538,25,50,65
21,13,999370,28,74,73
54,993,168955,50,32,48
54,67,6478,6,59,53
54,623,999370,74,74,56
45,665,128925,49,54,55
18,13,533437,74,70,80
54,13,918527,7,41,45
54,283,6478,0,70,46
54,993,6478,60,74,90
53,93,6478,50,74,70
28,993,544008,33,74,45
22,507,402653,24,73,69
54,993,359900,72,72,56
18,13,999370,0,36,80
43,597,513910,3,49,45
23,147,6478,2,74,75
54,13,528449,0,71,56
46,955,6478,0,61,45
54,808,398116,0,6,45
54,590,6478,59,74,56
46,993,192700,0,74,45
18,13,556649,36,74,45
53,993,463042,52,61,45
49,627,583314,72,0,74
35,13,646724,0,50,45
44,832,6478,24,74,45
54,993,6478,55,74,98
47,512,665882,0,54,45
52,13,323326,6,66,45
39,260,467802,74,74,45
54,13,832785,6,42,50
34,55,245603,13,34,45
41,352,943439,0,74,45
18,993,390262,69,74,45
54,151,482260,12,6,47
32,842,803031,36,59,77
29,273,305142,47,62,50
21,297,479724,23,74,59
18,993,79901,51,56,72
19,990,658501,0,59,45
45,993,498734,15,59,45
31,206,575920,10,56,45
32,13,340825,11,0,98
21,993,999370,1,74,55
43,617,593109,0,74,63
43,689,485551,51,49,45
54,993,586638,74,35,59
23,536,666544,74,46,45
27,471,584694,0,60,50
40,13,999370,0,46,45
54,850,338273,0,73,87
18,13,436689,7,0,45
52,13,271538,38,0,51
44,546,584322,45,31,45
20,854,588967,69,0,63
54,418,6478,0,74,66
54,13,999370,31,74,46
29,13,693454,43,42,98
53,993,956814,17,74,49
54,574,138498,53,60,98
48,133,6478,15,74,98
41,190,399764,70,74,45
18,537,999370,51,31,98
34,993,38834,72,67,47
34,13,999370,0,63,45
21,993,6478,44,74,45
43,13,6478,19,0,54
48,13,684755,31,55,45
26,254,129380,0,74,98
54,26,6478,39,26,45
54,798,999370,7,0,45
42,29,999370,7,74,45
43,551,971083,29,74,45
54,62,6478,24,74,98
40,396,202295,67,64,75
50,739,587564,65,50,67
40,711,220261,8,74,66
54,498,6478,38,74,51
53,569,591849,35,21,73
25,621,6478,54,33,66
20,970,561671,22,74,45
54,260,6478,0,0,45
37,427,206220,74,53,45
36,779,241012,20,74,98
23,561,999370,62,74,45
54,584,776164,0,74,61
44,13,562369,35,55,45
18,13,999370,0,59,45
54,497,266295,1,74,45
50,349,148825,36,74,64
18,581,514744,0,74,45
54,268,536981,58,51,47
42,26,277666,29,71,63
38,332,692390,24,74,45
38,507,446238,36,74,45
36,15,675623,72,26,45
18,13,20433,32,49,60
54,782,6478,0,27,45
54,13,282197,32,74,53
43,450,6478,48,44,59
54,594,612504,41,37,76
36,703,6478,30,43,45
22,812,6478,57,55,45
54,13,6478,23,67,45
25,172,493546,0,74,45
45,993,93355,21,72,45
54,43,224321,0,30,45
34,396,256055,11,62,45
46,45,265842,6,74,45
26,823,132627,49,74,55
54,899,112042,27,68,45
18,818,999370,74,38,62
54,546,134322,50,63,45
26,619,739618,36,74,45
54,221,410083,14,44,45
30,13,723683,6,74,45
54,13,205765,51,74,52
41,604,999370,13,49,45
46,283,759812,0,74,45
34,13,999370,24,27,45
41,83,379078,0,74,67
31,597,310625,15,48,55
39,291,424581,11,53,45
47,742,999370,66,65,45
29,275,697439,49,0,45
43,13,259578,45,74,45
33,485,999370,72,41,45
46,13,153291,0,0,45
34,420,459301,43,74,97
18,993,597253,32,0,45
39,103,915426,16,50,45
43,61,365522,19,74,54
54,666,6478,41,0,53
18,799,6478,9,74,74
54,484,616757,42,74,75
24,13,249711,43,68,79
41,993,999370,65,74,45
38,804,999370,10,56,55
22,363,159790,30,74,92
18,993,235368,20,74,52
42,305,6478,50,5,68
38,346,505472,74,74,98
18,13,217062,21,74,98
39,13,49493,36,60,45
23,13,113258,46,40,45
38,816,968669,70,8,46
42,909,528602,74,74,63
18,993,6478,0,19,48
18,345,706837,22,0,45
34,479,628938,51,74,45
41,524,321536,4,22,45
45,13,6478,31,74,93
54,13,279525,6,27,45
38,226,6478,25,71,45
47,71,583523,17,33,45
54,721,708091,12,74,45
18,118,999370,27,55,98
29,322,6478,7,74,45
42,993,187787,49,0,74
54,993,195461,10,0,81
54,14,544735,27,28,45
42,13,6478,42,74,52
33,628,871575,63,73,49
50,626,631183,71,56,51
18,266,567439,37,66,68
46,527,6478,22,74,72
48,854,540584,17,53,61
35,735,218308,31,63,78
54,580,862195,67,66,78
26,716,324181,54,0,57
45,13,999370,4,74,52
22,993,6478,0,74,45
45,68,184706,29,44,45
24,674,175564,69,74,68
49,420,615450,74,74,47
39,977,6478,52,74,45
48,68,999370,31,74,59
42,993,999370,12,0,67
54,728,27596,56,74,69
40,64,375552,23,74,45
38,331,906315,0,0,45
38,66,581437,32,74,45
54,993,53433,74,74,63
54,460,841391,8,67,51
40,468,493261,37,33,63
38,13,635634,13,74,45
34,505,6478,0,74,45
30,341,999370,32,74,46
46,296,555775,0,62,45
54,13,33526,17,74,96
54,709,999370,61,74,97
45,442,664198,14,68,98
18,55,612937,32,40,60
47,993,489307,70,0,45
45,993,6478,1,74,90
31,491,575962,64,0,45
54,251,6478,0,65,45
35,519,294048,5,68,50
51,354,652677,10,74,52
38,270,995484,14,5,98
54,653,121470,5,74,98
52,993,892059,17,17,45
34,585,571683,74,0,45
18,993,918538,27,13,45
40,453,158608,0,69,55
35,26,716082,53,17,45
32,13,462859,52,69,45
48,822,6478,51,74,84
27,422,264191,32,74,52
53,993,6478,73,40,45
18,292,6478,9,74,45
42,602,999370,63,34,45
54,993,999370,29,74,86
41,70,427410,30,0,54
54,307,435546,13,0,49
37,438,690757,30,3,45
54,547,906959,15,74,45
44,103,618045,34,15,56
18,548,686887,0,42,46
33,191,380189,0,74,45
44,993,701594,57,43,52
18,92,6478,0,74,45
44,69,715213,53,22,45
20,328,363675,42,15,45
33,948,6478,74,74,45
40,623,670080,60,74,62
44,13,255545,0,0,98
39,993,414922,43,74,45
54,129,6478,63,62,58
18,13,671668,20,51,65
54,13,348243,0,74,82
42,939,6478,9,74,89
42,109,999370,0,74,60
26,13,999370,31,74,45
24,603,6478,3,40,75
44,245,647427,13,0,53
48,677,299910,41,74,45
34,13,456411,25,74,47
44,993,690305,25,58,45
43,13,214269,45,0,66
54,993,459600,45,74,45
47,133,999370,27,50,48
40,639,709106,31,36,51
42,139,386399,0,50,78
28,161,237460,32,33,69
54,993,683553,30,63,46
18,993,549554,74,27,63
54,993,6478,26,0,45
19,111,541262,8,64,61
42,487,85196,8,74,82
29,466,652627,9,74,45
54,473,470334,0,0,45
54,300,266947,33,62,45
49,13,387885,30,41,45
20,729,565682,39,74,90
40,176,378561,0,67,60
18,749,6478,59,74,76
23,230,92172,0,74,45
53,962,999370,74,74,70
54,461,6478,18,74,47
35,13,6478,1,38,64
18,993,6478,19,31,45
54,993,999370,0,0,45
50,761,6478,11,65,50
44,13,6478,25,74,58
46,993,837635,48,24,69
37,166,452870,12,74,53
54,676,6478,74,74,73
54,993,459500,64,0,51
54,158,16975,52,0,67
18,993,727433,29,74,45
54,13,217098,7,3,61
54,711,722541,74,74,45
18,993,139227,74,21,45
43,13,216041,0,54,53
36,94,640259,0,40,45
26,407,282933,14,67,76
18,13,423131,28,74,55
42,13,594063,12,59,45
43,13,999370,0,74,45
41,151,690307,44,74,58
37,690,419384,57,74,46
54,552,64483,25,74,76
54,13,574148,0,61,45
18,530,477371,28,56,84
42,323,664644,0,73,45
18,993,730588,69,0,45
54,408,110320,63,33,65
18,993,999370,33,0,45
47,993,185180,58,12,45
25,216,655390,59,57,45
54,23,999370,0,47,73
44,993,543620,42,50,46
48,138,349415,36,74,45
44,993,6478,74,74,98
54,447,18712,47,74,98
54,424,6478,61,48,98
18,193,6478,39,49,64
18,574,6478,35,67,72
54,993,208230,65,74,45
54,925,6478,33,74,52
42,626,573323,50,74,57
52,405,6478,9,38,90
37,772,6478,0,74,78
54,84,6478,50,74,84
18,894,732625,58,0,45
19,13,550473,55,37,81
54,52,391727,16,34,64
18,75,6478,42,74,45
54,993,999370,27,14,45
48,220,764429,0,0,62
33,13,81481,43,61,78
42,273,6478,56,74,45
28,13,6478,25,74,45
18,840,999370,12,74,73
30,318,407441,74,54,57
54,762,999370,74,60,68
47,622,6478,74,46,52
41,13,328885,0,74,83
54,13,215479,0,74,87
30,13,422921,30,0,45
43,13,6478,0,32,72
38,167,83325,16,74,59
54,121,228793,0,18,72
54,13,623297,46,0,75
47,463,228025,22,10,45
53,640,425950,53,74,57
47,337,6478,0,69,46
38,419,363011,32,31,45
27,993,6478,74,0,45
36,424,6478,0,74,45
22,614,576504,14,52,45
18,13,306782,21,74,45
47,842,40962,21,29,71
42,684,351828,9,74,65
54,740,598639,62,74,78
18,434,999370,0,26,45
31,53,408835,31,3,61
18,201,6478,0,74,45
32,814,257554,41,0,45
54,288,110157,44,74,45
40,455,676644,31,17,58
54,178,560377,74,0,69
54,614,689170,52,35,67
36,193,733207,6,43,45
54,13,6478,0,74,70
39,993,314120,55,71,68
44,13,667912,49,44,46
22,593,189549,0,73,45
54,993,6478,68,74,98
37,47,705281,11,46,45
32,246,799083,0,74,45
34,642,233320,43,74,67
54,416,320540,49,74,64
51,13,226420,38,43,73
54,539,6478,6,74,46
54,993,625800,44,0,57
18,13,209169,56,74,45
48,279,629917,24,74,82
54,993,198474,61,74,60
54,427,783018,23,0,60
54,993,831267,74,49,45
18,668,144231,0,74,45
39,13,370283,49,54,70
30,464,591994,45,73,45
54,962,415469,14,54,66
19,705,27487,52,74,58
48,341,151638,0,74,75
54,13,618361,22,39,78
42,486,6478,16,0,65
48,639,487612,50,43,57
48,31,134069,34,74,62
47,92,494109,0,74,45
54,13,6478,26,68,47
54,595,979899,57,26,45
46,883,53069,0,74,45
33,593,288233,48,74,76
20,402,999370,43,23,61
37,993,677426,44,54,45
18,993,999370,0,18,45
39,703,416247,71,59,69
18,993,399223,30,74,98
44,615,657287,74,45,45
54,459,841839,69,74,98
34,486,722126,72,9,45
54,13,6478,0,74,45
25,217,503196,2,74,60
19,269,725610,74,54,84
43,993,999370,71,0,45
54,13,395223,55,13,45
31,993,6478,51,14,69
42,796,6478,19,66,55
46,520,37429,36,55,63
32,96,621503,47,74,98
44,993,999370,22,9,70
18,13,620269,0,11,45
37,251,6478,24,68,63
19,13,61917,0,0,77
18,301,389150,20,74,45
54,660,975877,28,57,45
46,342,999370,11,74,75
49,513,999370,74,53,45
43,397,802734,0,35,60
37,13,6478,0,74,45
35,365,508480,0,74,45
32,371,6478,0,72,56
32,993,538488,55,74,61
51,993,308977,52,0,45
29,148,261828,74,55,47
24,591,154196,0,74,61
54,306,6478,45,74,76
46,616,999370,30,40,68
54,46,6478,44,74,72
46,867,6478,28,74,73
49,770,429670,42,0,51
54,860,6478,53,0,74
45,993,253152,26,74,45
44,903,244972,11,74,45
47,565,6478,0,27,80
