SAFETY_SCORE,YEAR,TOTAL_MILES_DONE,BATTERY_HEALTH,TYRE_PRESSURE,FUEL_LEVEL,OIL_LEVEL
50,2005,20431,GOOD,31,0,58
52,2009,99783,GOOD,30,44,98
50,2013,99783,GOOD,30,98,98
96,2012,99783,GOOD,30,0,98
50,2011,5220,GOOD,30,39,21
50,2017,96382,AVERAGE,30,98,98
57,2005,20535,AVERAGE,31,0,47
51,2005,35270,AVERAGE,30,98,98
62,2005,45459,GOOD,32,45,65
52,2011,93593,GOOD,30,69,1
50,2005,91695,GOOD,34,83,55
58,2020,8021,GOOD,33,15,41
60,2017,29963,AVERAGE,34,98,54
56,2019,5220,GOOD,32,0,67
50,2020,19760,AVERAGE,31,40,15
98,2013,5220,AVERAGE,32,0,98
78,2013,5220,AVERAGE,32,0,98
50,2013,5220,GOOD,32,18,28
57,2007,36791,AVERAGE,34,2,98
50,2005,26967,GOOD,34,27,41
52,2015,44246,AVERAGE,30,17,1
98,2008,54445,AVERAGE,34,0,86
89,2020,5220,AVERAGE,32,46,55
80,2020,65162,AVERAGE,32,84,98
68,2011,5220,GOOD,33,90,66
88,2008,5220,AVERAGE,34,0,98
98,2012,5220,GOOD,30,64,19
86,2020,66601,AVERAGE,34,61,39
81,2016,5220,GOOD,31,0,13
89,2011,30316,AVERAGE,32,0,98
55,2015,99783,AVERAGE,34,33,21
50,2010,55116,GOOD,30,0,22
80,2005,61388,AVERAGE,30,98,71
53,2005,35254,GOOD,30,57,38
54,2009,22662,AVERAGE,32,51,0
88,2008,76751,AVERAGE,31,0,0
91,2014,30377,GOOD,33,21,81
98,2005,5220,GOOD,34,0,64
96,2008,5220,AVERAGE,34,5,0
73,2010,75374,AVERAGE,31,12,82
93,2005,62794,GOOD,34,8,86
92,2014,5220,GOOD,30,36,98
66,2016,98238,GOOD,30,22,10
66,2005,29101,GOOD,32,0,98
90,2005,30197,AVERAGE,30,36,98
50,2011,43171,AVERAGE,31,4,30
60,2009,32026,AVERAGE,34,98,0
80,2005,85620,AVERAGE,30,0,54
50,2011,5220,GOOD,31,0,98
84,2006,15041,GOOD,31,98,0
65,2011,5220,AVERAGE,34,13,23
84,2017,45644,AVERAGE,33,44,98
77,2005,16184,AVERAGE,30,80,65
76,2008,99783,AVERAGE,32,17,17
50,2011,70733,GOOD,34,47,43
59,2019,25050,AVERAGE,30,0,79
90,2005,86123,AVERAGE,31,98,83
68,2020,5220,AVERAGE,34,54,98
95,2013,27620,GOOD,32,0,98
58,2016,99783,GOOD,30,27,98
93,2014,5220,AVERAGE,32,19,70
86,2005,45228,AVERAGE,32,45,98
69,2009,56187,AVERAGE,31,0,98
61,2016,58874,AVERAGE,32,6,53
67,2005,5220,AVERAGE,32,30,98
54,2015,99783,GOOD,30,98,81
50,2006,18750,AVERAGE,31,98,69
50,2012,5220,AVERAGE,34,27,98
54,2020,53479,AVERAGE,34,98,83
82,2014,5220,AVERAGE,30,28,23
70,2007,5220,AVERAGE,31,0,82
55,2015,5220,GOOD,32,66,17
64,2009,18469,AVERAGE,31,70,98
90,2010,99783,GOOD,34,98,98
82,2005,5220,AVERAGE,31,59,39
50,2013,5220,AVERAGE,33,6,98
98,2018,14640,AVERAGE,32,0,98
66,2014,5220,GOOD,30,0,61
50,2005,5220,GOOD,34,88,57
75,2010,5220,AVERAGE,34,42,70
50,2005,25650,GOOD,34,98,15
98,2005,20542,GOOD,31,28,59
97,2009,38038,AVERAGE,34,97,84
89,2009,67888,AVERAGE,31,52,98
70,2010,87768,AVERAGE,32,20,98
50,2019,5220,GOOD,31,13,98
50,2005,41724,AVERAGE,33,0,87
61,2005,5220,AVERAGE,34,31,56
63,2013,5220,GOOD,34,0,81
98,2007,55147,AVERAGE,31,88,95
50,2005,50254,AVERAGE,32,0,66
87,2010,89428,AVERAGE,30,0,98
89,2005,6186,AVERAGE,34,52,86
61,2020,99783,AVERAGE,32,4,84
98,2005,27667,AVERAGE,34,41,75
82,2013,41434,GOOD,34,90,98
50,2005,84340,GOOD,33,98,96
98,2012,5220,GOOD,33,0,98
64,2005,5220,GOOD,31,0,98
78,2005,41746,AVERAGE,31,0,65
98,2005,5220,GOOD,31,6,98
60,2010,99414,AVERAGE,30,98,32
85,2010,42435,AVERAGE,33,6,15
66,2015,41638,AVERAGE,33,13,20
64,2011,66635,AVERAGE,30,0,0
87,2009,51191,AVERAGE,33,15,95
50,2020,5220,GOOD,30,0,98
93,2005,20929,AVERAGE,30,98,0
50,2019,92290,AVERAGE,30,62,38
51,2011,39143,AVERAGE,30,71,14
92,2005,5220,AVERAGE,33,0,22
57,2010,99783,GOOD,33,77,98
